report_id,report_date,source,site,location,activity,report_type,raw_text,actual_outcome,actual_severity
R022,2024-07-22,OSHA_SIR,Site_D,Confined Space,Maintenance,Incident,"Two workers entered a sewer-type confined space to retrieve a dropped tool. Neither atmospheric testing nor a permit was obtained. Both workers were overcome by hydrogen sulphide. Both hospitalized.",Hospitalized,Severe
R023,2024-08-01,NIOSH_FACE,Site_A,Loading Dock,Material Handling,Incident,"Worker was guiding a suspended load by hand when the crane moved unexpectedly. The load swung and struck the worker causing a fractured pelvis. No tag line was in use.",Hospitalized,Severe
R024,2024-08-08,OSHA_ACCIDENT,Site_E,High Voltage Room,Electrical Work,Near_Miss,"Contractor electrician accessed a high-voltage switchroom without site-specific induction and without being accompanied. No injury but contractor was found in a restricted energised area without PPE.",No Injury,Near Miss
R025,2024-08-15,CSB,Site_F,Pump Station,Process Maintenance,Incident,"Isolation valve was closed but no blind or spade was inserted before breaking a flange on a hydrocarbon line. The valve passed and hydrocarbon liquid sprayed the worker causing chemical burns.",Medical Treatment,Moderate
R026,2024-08-22,OSHA_SIR,Site_B,Drilling Rig,Drilling,Near_Miss,"Driller entered the drill floor while pipe was in motion without communicating with the drawworks operator. A near miss with rotating pipe resulted. No personnel alarm or communication protocol followed.",No Injury,Near Miss
R027,2024-09-01,NIOSH_FACE,Site_C,Tank Farm,Maintenance,Fatality,"Worker was cleaning inside a storage tank without an inert atmosphere confirmation or continuous monitoring. Hydrocarbon vapour accumulated. Ignition source from a torch caused an explosion. Fatal outcome.",Fatality,Fatal
R028,2024-09-08,OSHA_ACCIDENT,Site_D,Generator Room,Electrical Maintenance,Incident,"Generator was running when a technician opened the access panel to investigate an alarm. No isolation was performed. The technician received an electric shock and burns. Burns required hospitalisation.",Hospitalized,Severe
R029,2024-09-15,CSB,Site_A,Process Area,Hot Work,Near_Miss,"Hot work permit was issued but gas monitoring was stopped after one hour. Work continued for two additional hours without continuous monitoring. Combustible gas accumulation was found on post-work survey.",No Injury,Near Miss
R030,2024-09-22,OSHA_SIR,Site_E,Crane Operating Area,Lifting,Incident,"Crane lift plan had not been prepared for a non-routine heavy lift. The load exceeded the crane's rated capacity at the operating radius by 12%. The crane tipped but the load was retained. No injuries.",No Injury,Near Miss
R031,2024-10-01,NIOSH_FACE,Site_F,Road,Vehicle Operations,Fatality,"Driver of a heavy transport vehicle fell asleep at the wheel on a site access road. Vehicle left the road and struck earthworks. The driver was fatally injured.",Fatality,Fatal
R032,2024-10-08,OSHA_ACCIDENT,Site_B,High Bay,Working at Height,Incident,"Worker fell from a 4-metre-high stepladder that was not footed or secured. The ladder slipped while the worker was reaching laterally. The worker sustained a fractured wrist.",Medical Treatment,Moderate
R033,2024-10-15,CSB,Site_C,Control Room,Operations,Near_Miss,"Instrument technician bypassed a critical safety instrumented system for maintenance without management of change approval. The bypass remained in place for 48 hours. A process exceedance occurred during this period.",No Injury,Near Miss
R034,2024-10-22,OSHA_SIR,Site_D,Confined Space,Inspection,Near_Miss,"Inspector entered a manhole after atmospheric testing showed acceptable oxygen but did not test for H2S. H2S was subsequently detected by a personal monitor at dangerous levels. Inspector evacuated safely.",No Injury,Near Miss
R035,2024-11-01,NIOSH_FACE,Site_A,Electrical Switchroom,Electrical Maintenance,Fatality,"Electrician was performing switching operations without a second person present as required by procedure. An arc flash occurred due to equipment fault. The electrician suffered fatal burns.",Fatality,Fatal
R036,2024-11-08,OSHA_ACCIDENT,Site_E,Fuel Bowser,Vehicle,Incident,"Fuel tanker driver left the tanker unattended while fuelling a piece of equipment. Overfill occurred and fuel spilled onto hot exhaust. A small fire resulted. No injuries but significant environmental impact.",No Injury,Near Miss
R037,2024-11-15,CSB,Site_F,Compressor,Mechanical Maintenance,Incident,"During maintenance on a reciprocating compressor the technician failed to depressurise the system before removing a valve cover. The cover ejected under pressure and struck the technician in the face causing eye injury.",Medical Treatment,Moderate
R038,2024-11-22,OSHA_SIR,Site_B,Welding Bay,Hot Work,Near_Miss,"Hot work was conducted above a drain connected to a hydrocarbon system. Molten metal droplets fell into the drain and caused a small hydrocarbon fire in the drain. Fire was extinguished with extinguisher.",No Injury,Near Miss
R039,2024-12-01,NIOSH_FACE,Site_C,Transfer Pump,Chemical Handling,Fatality,"Worker was transferring corrosive acid without acid-resistant PPE. Pump seal failed and acid sprayed the worker over a large body surface area. Worker received fatal chemical burns.",Fatality,Fatal
R040,2024-12-08,OSHA_ACCIDENT,Site_D,Scaffolding,Working at Height,Near_Miss,"Scaffold board was placed unsupported with overhang exceeding four times board thickness. A worker stepped onto the overhang and the board flipped. Worker grabbed a handrail and was not injured.",No Injury,Near Miss
R041,2025-01-05,OIL,OIL_Site_Alpha,Production Platform,Production Operations,UA_UC,"Observed worker operating valve without required PPE (gloves, safety glasses). H2S gas present in the area. Toolbox talk conducted but worker not aware of specific hazards.",No Injury,Near Miss
R042,2025-01-12,OIL,OIL_Site_Alpha,Wellhead Area,Well Maintenance,Near_Miss,"BOP valve operated without confirming well pressure status. No well control permit in place. Well was in a live state. Pressure spike occurred but well was regained without blowout.",No Injury,Near Miss
R043,2025-01-19,OIL,OIL_Site_Beta,Pump House,Pump Maintenance,UA_UC,"Maintenance person observed bypassing interlocks on pump protection system to prevent spurious shutdown. Bypass placed without authorisation or management of change. High vibration subsequently detected.",No Injury,Near Miss
R044,2025-02-01,OIL,OIL_Site_Alpha,Chemical Injection Skid,Chemical Handling,Incident,"Chemical injection pump seal failed and methanol sprayed the maintenance technician. Technician was not wearing face shield or acid/chemical resistant suit as required by chemical handling procedure. First aid treatment required.",First Aid,Minor
R045,2025-02-14,OIL,OIL_Site_Gamma,Flare System,Inspection,Near_Miss,"Inspector identified that the flare knockout drum high-level shutdown had been disabled for more than one week without a bypass permit or management of change. Multiple near-miss conditions present during this period.",No Injury,Near Miss
R046,2025-02-28,OIL,OIL_Site_Beta,Diesel Storage,Fire Prevention,UA_UC,"Hot work observed being conducted within the restricted zone around the diesel bund without a hot work permit and without fire watch. Contractor crew performing welding repairs.",No Injury,Near Miss
R047,2025-03-10,OIL,OIL_Site_Delta,Compressor Station,Compression Operations,Incident,"Compressor overpressure event occurred due to pressure relief valve being gagged (held closed with wire) by maintenance to stop spurious lifting. Relief valve was not restored before restart. Overpressure reached 142% design pressure.",No Injury,Near Miss
R048,2025-03-22,OIL,OIL_Site_Alpha,Living Quarters,General,UA_UC,"Observed smoking in a non-designated area adjacent to fuel storage facility. Fire risk in proximity to fuel. Area is classified as restricted smoking zone.",No Injury,Near Miss
R049,2025-04-05,OIL,OIL_Site_Gamma,Pipeline Right of Way,Pipeline Inspection,Incident,"Pipeline patrol found third party excavation activity occurring within the pipeline corridor without prior notification to OIL. Excavation machinery operating within 2 metres of live pipeline. Pipeline undamaged but excavation immediately stopped.",No Injury,Near Miss
R050,2025-04-18,OIL,OIL_Site_Beta,Electrical Substation,Electrical Maintenance,Incident,"Electrician received an electric shock while testing a circuit that had been thought to be de-energised. Isolation had been applied at the wrong distribution board. Worker hospitalized with hand burns.",Hospitalized,Severe
